Shell_Label,Shell_Part,Shell_N1,Shell_N2,Shell_N3,Shell_N4
9436055,1,37214631,37214632,37214762,37214761
9436056,1,37214632,37214633,37214763,37214762
9436057,1,37214633,37214634,37214764,37214763
9436058,1,37214634,37214635,37214765,37214764
9436059,1,37214635,37214636,37214766,37214765
9436060,1,37214636,37214637,37214767,37214766
9436061,1,37214637,37214638,37214768,37214767
9436062,1,37214638,37214639,37214769,37214768
9436063,1,37214639,37214640,37214770,37214769
9436064,1,37214640,37214641,37214771,37214770
9436065,1,37214641,37214642,37214772,37214771
9436066,1,37214642,37214643,37214773,37214772
9436067,1,37214643,37214644,37214774,37214773
9436068,1,37214644,37214645,37214775,37214774
9436069,1,37214645,37214646,37214776,37214775
9436070,1,37214646,37214647,37214777,37214776
9436071,1,37214647,37214648,37214778,37214777
9436072,1,37214648,37214649,37214779,37214778
9436073,1,37214649,37214650,37214780,37214779
9436074,1,37214650,37214651,37214781,37214780
9436075,1,37214651,37214652,37214782,37214781
9436076,1,37214652,37214653,37214783,37214782
9436077,1,37214653,37214654,37214784,37214783
9436078,1,37214654,37214655,37214785,37214784
9436079,1,37214655,37214656,37214786,37214785
9436080,1,37214656,37214657,37214787,37214786
9436081,1,37214657,37214658,37214788,37214787
9436082,1,37214658,37214659,37214789,37214788
9436083,1,37214659,37214660,37214790,37214789
9436084,1,37214660,37214661,37214791,37214790
9436085,1,37214661,37214662,37214792,37214791
9436086,1,37214662,37214663,37214793,37214792
9436087,1,37214663,37214664,37214794,37214793
9436088,1,37214664,37214665,37214795,37214794
9436089,1,37214665,37214666,37214796,37214795
9436090,1,37214666,37214667,37214797,37214796
9436091,1,37214667,37214668,37214798,37214797
9436092,1,37214668,37214669,37214799,37214798
9436093,1,37214669,37214670,37214800,37214799
9436094,1,37214670,37214671,37214801,37214800
9436095,1,37214671,37214672,37214802,37214801
9436096,1,37214672,37214673,37214803,37214802
9436097,1,37214673,37214674,37214804,37214803
9436098,1,37214674,37214675,37214805,37214804
9436099,1,37214675,37214676,37214806,37214805
9436100,1,37214676,37214677,37214807,37214806
9436101,1,37214677,37214678,37214808,37214807
9436102,1,37214678,37214679,37214809,37214808
9436103,1,37214679,37214680,37214810,37214809
9436104,1,37214680,37214681,37214811,37214810
9436105,1,37214681,37214682,37214812,37214811
9436106,1,37214682,37214683,37214813,37214812
9436107,1,37214683,37214684,37214814,37214813
9436108,1,37214684,37214685,37214815,37214814
9436109,1,37214685,37214686,37214816,37214815
9436110,1,37214686,37214687,37214817,37214816
9436111,1,37214687,37214688,37214818,37214817
9436112,1,37214688,37214689,37214819,37214818
9436113,1,37214689,37214690,37214820,37214819
9436114,1,37214690,37214691,37214821,37214820
9436115,1,37214691,37214692,37214822,37214821
9436116,1,37214692,37214693,37214823,37214822
9436117,1,37214693,37214694,37214824,37214823
9436118,1,37214694,37214695,37214825,37214824
9436119,1,37214695,37214696,37214826,37214825
9436120,1,37214696,37214697,37214827,37214826
9436121,1,37214697,37214698,37214828,37214827
9436122,1,37214698,37214699,37214829,37214828
9436123,1,37214699,37214700,37214830,37214829
9436124,1,37214700,37214701,37214831,37214830
9436125,1,37214701,37214702,37214832,37214831
9436126,1,37214702,37214703,37214833,37214832
9436127,1,37214703,37214704,37214834,37214833
9436128,1,37214704,37214705,37214835,37214834
9436129,1,37214705,37214706,37214836,37214835
9436130,1,37214706,37214707,37214837,37214836
9436131,1,37214707,37214708,37214838,37214837
9436132,1,37214708,37214709,37214839,37214838
9436133,1,37214709,37214710,37214840,37214839
9436134,1,37214710,37214711,37214841,37214840
9436135,1,37214711,37214712,37214842,37214841
9436136,1,37214712,37214713,37214843,37214842
9436137,1,37214713,37214714,37214844,37214843
9436138,1,37214714,37214715,37214845,37214844
9436139,1,37214715,37214716,37214846,37214845
9436140,1,37214716,37214717,37214847,37214846
9436141,1,37214717,37214718,37214848,37214847
9436142,1,37214718,37214719,37214849,37214848
9436143,1,37214719,37214720,37214850,37214849
9436144,1,37214720,37214721,37214851,37214850
9436145,1,37214721,37214722,37214852,37214851
9436146,1,37214722,37214723,37214853,37214852
9436147,1,37214723,37214724,37214854,37214853
9436148,1,37214724,37214725,37214855,37214854
9436149,1,37214725,37214726,37214856,37214855
9436150,1,37214726,37214727,37214857,37214856
9436151,1,37214727,37214728,37214858,37214857
9436152,1,37214728,37214729,37214859,37214858
9436153,1,37214729,37214730,37214860,37214859
9436154,1,37214730,37214731,37214861,37214860
9436155,1,37214731,37214732,37214862,37214861
9436156,1,37214732,37214733,37214863,37214862
9436157,1,37214733,37214734,37214864,37214863
9436158,1,37214734,37214735,37214865,37214864
9436159,1,37214735,37214736,37214866,37214865
9436160,1,37214736,37214737,37214867,37214866
9436161,1,37214737,37214738,37214868,37214867
9436162,1,37214738,37214739,37214869,37214868
9436163,1,37214739,37214740,37214870,37214869
9436164,1,37214740,37214741,37214871,37214870
9436165,1,37214741,37214742,37214872,37214871
9436166,1,37214742,37214743,37214873,37214872
9436167,1,37214743,37214744,37214874,37214873
