model_id,end_state
00002,9999
00003,80
00004,9999
00005,9999
00006,9999
00007,9999
00008,9999
00009,9999
00010,26
00011,26
00012,23
00013,23
00014,23
00015,23
00016,23
00017,23
00018,20
00019,20
00020,75
00021,55
00022,40
00023,75
00024,65
00025,60
00026,70
00027,100
00028,80
00029,95
00030,9999
00031,69
00032,40
00033,55
00034,130
00035,100
00036,70
00037,80
00038,60
00039,60
00040,9999
00041,9999
00042,9999
00043,9999
00044,9999
00045,9999
00046,9999
00047,9999
00048,9999
00049,9999
00050,9999
00051,9999
00052,35
00053,26
00054,25
00055,44
00056,45
00057,28
00058,35
00059,25
00060,38
00061,17
00062,40
00063,25
00064,19
00065,45
00066,28
00067,25
00068,25
00069,21
00070,21
00071,22
00072,22
00073,23
00074,32
00075,62
00076,65
00077,45
00078,57
00079,40
00080,60
00081,40
00089,130
00090,80
00091,80
00092,95
00093,102
00094,48
00095,48
00096,45
00097,37
00098,40
00099,40
00100,40
00101,50
00102,50
00103,40
00104,50
00105,35
00106,40
00107,43
00108,43
00109,40
00110,9999
00111,50
00112,30
00113,30
00114,20
00115,20
00116,25
00117,38
00118,38
00119,35
00120,35
00121,40
00122,28
00123,28
00124,40
00125,33
00126,33
00127,42
00128,60
00129,40
00130,40
00131,40
00132,40
00133,60
00134,40
00135,36
00136,75
00137,100
00138,55
00139,100
00140,80
00141,50
00142,30
00143,60
00144,80
00145,50
00146,150
00147,70
00148,35
00149,50
00150,80
00151,65
00152,58
00153,77
00154,40
00155,25
00156,110
00157,130
00158,110
00159,105
00160,30
00161,60
00162,45
00163,45
00164,65
00165,35
00166,48
00167,35
00168,83
00169,120
00170,90
00171,55
00172,55
00173,47
00174,50
00175,45
00176,45
00177,40
00178,43
00179,40
00180,45
00181,45
00182,50
00183,45
00184,45
00185,45
00186,55
00187,55
00188,60
00189,67
00190,80
00191,40
00192,50
00193,62
00194,90
00195,55
00196,50
00197,35
00198,25
00199,40
00200,60
00201,30
00203,90
00204,23
00205,37
00207,28
00208,30
00209,55
00211,35
00212,25
00215,37
00216,35
00217,18
00218,35
00219,75
00220,30
00221,20
00222,26
00224,40
00225,55
00226,35
00227,40
00228,35
00229,30
00231,35
00232,55
00234,30
00236,60
00237,60
00238,55
00239,35
00240,45
00241,80
00244,65
00245,25
00246,37
00247,35
00248,45
00251,50
00252,45
00253,25
00254,60
00256,70
00258,35
00259,20
00260,30
00261,30
00262,25
00263,40
00264,25
00265,35
00266,85
00267,20
00268,60
00269,20
00270,20
00271,25
00272,45
00273,20
00274,20
00275,22
00276,25
00277,25
00278,25
00279,30
00280,33
00281,45
00282,175
00283,45
00284,30
00285,20
00286,30
00287,85
00288,30
00289,25
00290,25
00291,15
00292,30
00293,25
00294,50
00295,60
00296,40
00297,55
00298,55
00299,40
00300,55
00301,90
00302,80
00303,60
00304,50
00305,40
00306,40
00307,50
00308,55
00309,50
00310,80
00311,55
00312,40
00313,60
00314,55
00315,55
00316,60
00317,40
00318,40
00320,25
00321,50
00322,60
00323,80
00324,80
00325,70
00326,9999
00328,60
00329,60
00330,60
00331,60
00332,50
00333,45
00334,40
00335,75
00336,130
00337,90
00338,45
00339,130
00340,160
00341,160
00342,45
00343,25
00344,45
00345,80
00346,80
00347,40
00348,30
00349,150
00350,160
00351,35
00352,80
00353,60
00354,50
00355,75
00356,35
00357,60
00358,60
00359,60
00360,40
00361,70
00362,75
00363,80
00364,100
00365,40
00366,35
00367,60
00368,40
00369,80
00370,60
00371,60
00372,60
00373,80
00374,80
00375,175
00376,175
00377,90
00378,35
00379,100
00380,60
00381,45
00382,40
00383,100
00384,105
00385,20
00386,40
00387,40
00388,100
00389,140
00390,45
00391,65
00392,120
00394,35
00395,35
00396,50
00397,50
00398,30
00399,20
00400,30
00401,35
00402,70
00403,50
00404,60
00405,50
00406,60
00407,50
00408,70
